business name,distance in miles,phone number,category,address,address 2,address 3,city,state,zip
"Healthy Smiles of Orlando: Akmal Ahmed, DDS",19.19,+14077904181,"Cosmetic Dentists,General Dentistry,Pediatric Dentists",946 International Pkwy,Ste 1550,,Lake Mary,FL,32746
Smile Design Dentistry-Casselberry,9.32,+14077089946,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",1455 State Rd 436,Ste 101,,Casselberry,FL,32707
All Smiles Family Dental,15.88,+14078898300,General Dentistry,1140 Rock Springs Rd,,,Apopka,FL,32712
Kissimmee Dental,13.24,+14073909113,"General Dentistry,Cosmetic Dentists,Prosthodontists",2916 Vineland Rd,,,Kissimmee,FL,34746
Reflections Cosmetic & Family Dentistry,11.02,+14078470100,"General Dentistry,Cosmetic Dentists",3292 Greenwald Way N,,,Kissimmee,FL,34741
"Mainak Patel, DMD",8.18,+14076781400,"Cosmetic Dentists,General Dentistry",6504 University Blvd,,,Winter Park,FL,32792
All About Smiles,3.86,+14078556305,Orthodontists,1650 Sand Lake Rd,Ste 116,,Orlando,FL,32809
"William K. Fravel, DMD, PA",9.82,+14076560001,Orthodontists,1291 Blackwood Ave,,,Ocoee,FL,34761
Anderson Family Dental,8.86,+14076445454,"General Dentistry,Cosmetic Dentists,Endodontists",1431 Howell Branch Rd,,,Winter Park,FL,32789
South Lake Dental,20.97,+13522420912,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",533 Cagan Park Ave,Ste 307,,Clermont,FL,34714
Family Dental Clinic,10.07,+14074828072,Dentists,10691 E Colonial Dr,,,Orlando,FL,32817
Central Florida Endodontics,3.3,+14078438180,Endodontists,430 North Mills Ave,Ste 2,,Orlando,FL,32803
All Aspects Dental Group,3.96,+14078496056,Dentists,2130 W Colonial Dr,,,Orlando,FL,32804
Azalea Park Centra Care,4.71,+14072770550,"Urgent Care,Medical Centers",509 South Semoran Blvd,,,Orlando,FL,32807
Charles A Arias DDS,11.01,+14073826122,Oral Surgeons,316 N Alafaya Trl,,,Orlando,FL,32828
Winter Park Periodontist,7.52,+14076474180,General Dentistry,2225 Glenwood Dr,,,Winter Park,FL,32792
Dental Center of Orange,9.83,+13868371437,General Dentistry,4151 Hunter's Park Ln,Ste 140,,Orlando,FL,32837
Plaza North Dentistry,11.49,+14073371112,"General Dentistry,Cosmetic Dentists,Periodontists",385 Douglas Ave,Ste 2450,,Altamonte Springs,FL,32714
Champions Gate Dentistry,22.09,+14074792018,"General Dentistry,Cosmetic Dentists,Endodontists",8225 Champions Gate Blvd,,,Champions Gate,FL,33896
"McIntosh David L, DMD",8.41,+14076448786,Orthodontists,520 S Maitland Ave,,,Maitland,FL,32751
Towncare Dental,7.09,+14079014351,General Dentistry,1713 West Fairbanks Avenue,,,Winter Park,FL,32789
Celebration Dental Group,16.19,+14075662222,General Dentistry,741 Front St,Ste 310,,Celebration,FL,34747
Central Florida Periodontics & Implantology,7.19,+14076472295,Periodontists,2295 Lee Rd,,,Winter Park,FL,32789
Aspen Dental,11.11,+14076700020,"Oral Surgeons,General Dentistry,Cosmetic Dentists",410 E Altamonte Dr,Ste 1040,,Altamonte Springs,FL,32701
Arias Charles DDS,9.61,+14072777711,Oral Surgeons,10231 E Colonial Dr,,,Orlando,FL,32817
"Brian Ramski, DMD",13.18,+14079059965,"Oral Surgeons,Cosmetic Dentists,General Dentistry",213 S Dillard St,Ste 140,BR Dental,Winter Garden,FL,34787
Barinas Dental Associates,11.43,+14075305881,"General Dentistry,Cosmetic Dentists,Periodontists",2834 E Osceola Pkwy,,,Kissimmee,FL,34743
Windermere Pediatric Dentistry & Orthodontics,8.18,+14072703997,Pediatric Dentists,4769 The Grove Dr,Ste 118,,Windermere,FL,34786
Douglas T Andrews DMD,14.5,+14078477997,General Dentistry,316 N John Young Pkwy,Ste 1,,Kissimmee,FL,34741
"Dropkin Stuart, DMD PA",5.89,+14076477883,General Dentistry,1355 Orange Ave,Ste 4,,Winter Park,FL,32789
Bright Now! Dental,12.7,+14072874660,"General Dentistry,Orthodontists,Cosmetic Dentists",3017 Daniels Rd,Ste 108,,WInter Garden,FL,34787
Sage Dental of The Loop,11.33,+14072794335,"Orthodontists,Oral Surgeons,Endodontists",1188 W Osceola Pkwy,,,Kissimmee,FL,34741
"Richard S Rogers, DDS",12.01,+14078626090,"General Dentistry,Cosmetic Dentists",709 Douglas Ave,,,Altamonte Springs,FL,32714
"Motiram Singh, DMD",16.3,+14079770048,General Dentistry,1781 E Broadway St,,,Oviedo,FL,32765
"Sophia Parpia, DDS, PLLC",12.05,+14078628301,Cosmetic Dentists,777 Douglas Ave,,Family & Cosmetic Dentistry,Altamonte Springs,FL,32714
Tuskawilla Dental Center,11.99,+14076990958,General Dentistry,1450 Tuskawillla Rd,Ste 116,,Winter Springs,FL,32708
"Lee, Raymond DMD PA",14.77,+14073660800,"General Dentistry,Cosmetic Dentists",385 Alexandria Blvd,,,Oviedo,FL,32765
Brignol Dental Spa & Orthodontics,9.31,+13523485223,"Orthodontists,Cosmetic Dentists,General Dentistry",2700 Westhall Ln,,,Maitland,FL,32751
Pediatric Dental Group,8.99,+14077377767,Pediatric Dentists,5518 Lake Howell Rd,,,Winter Park,FL,32792
"Schwartz W Theodore II, DDS",6.71,+14076444387,"Oral Surgeons,General Dentistry",206 S Park Ave,,,Winter Park,FL,32789
Coast Dental,7.59,+14076739111,"General Dentistry,Endodontists,Cosmetic Dentists",2063 Aloma Ave,Ste 203,,Winter Park,FL,32792
Hallmark Dental,10.75,+14073442400,"General Dentistry,Endodontists,Periodontists",1014 Buenaventura Blvd,,,Kissimmee,FL,34743
Sweetwater Dental Wellness,13.86,+14078623181,"General Dentistry,Cosmetic Dentists",901 Wekiva Springs Rd,,,Longwood,FL,32779
Mattingly Timothy E MD,8.18,+14076781600,"Doctors,General Dentistry",6504 University Blvd,,,Winter Park,FL,32792
Orlando Lifestyle Dentistry,7.23,+14075476453,Cosmetic Dentists,1850 Greenwich Ave,,,Winter Park,FL,32788
Premiere Orthodontics,7.5,+14073813376,Orthodontists,7009 Dr Phillips Blvd,Ste 200,,Orlando,FL,32819
Everest Dental,13.43,+14076957774,"Pediatric Dentists,General Dentistry,Cosmetic Dentists",2989 Alafaya Trl,,,Oviedo,FL,32765
"Mary R Isaacs, DMD",12.11,+14076965210,"General Dentistry,Cosmetic Dentists",5965 Red Bug Lake Rd,Unit 233,,Winter Springs,FL,32708
Classic Smiles,10.24,+14072933002,"General Dentistry,Cosmetic Dentists,Orthodontists",2677 Maguire Rd,,,Ocoee,FL,34761
Holehouse Center For Complete Dentistry,12.8,+14076541296,"Periodontists,Cosmetic Dentists,General Dentistry",3700 Winter Garden Vineland Rd,,,Winter Garden,FL,34787
Community Health Centers,4.77,+14079058827,"Obstetricians & Gynecologists,Pediatric Dentists",840 Mercy Dr,,,Orlando,FL,32808
Lakeshore Dental Care,17.48,+14079576760,"General Dentistry,Cosmetic Dentists",4695 Old Canoe Creek Rd,,,St. Cloud,FL,34769
Front Street Family Dentistry,15.95,+14075661146,General Dentistry,609 Front St,,,Celebration,FL,34747
New Smile Dentistry,14.12,+14073270731,"General Dentistry,Cosmetic Dentists",620 W State Rd 434,,,Winter Springs,FL,32708
"Smile Artists: Drs. Williams, Solberg & Miller",10.97,+14078340330,"General Dentistry,Cosmetic Dentists",201 Maitland Ave,,,Altamonte Springs,FL,32701
"E. Donald Thomas, DMD",7.26,+14076441455,"General Dentistry,Orthodontists,Cosmetic Dentists",201 N Lakemont Ave,Ste 300,,Winter Park,FL,32792
Artistic Smiles Of Orlando,8.09,+14076787744,"General Dentistry,Cosmetic Dentists",3011 Aloma Ave,,,Winter Park,FL,32792
"Ilya V Freyman, DMD",14.25,+14072600224,"General Dentistry,Cosmetic Dentists,Periodontists",286 E State Rd 434,,,Longwood,FL,32750
A Beautiful Smile,11.36,+14073486441,General Dentistry,3061 Michigan Ave,Ste 201,,Kissimmee,FL,34744
"Andrew J Tringas, DMD MS",9.63,+14078762991,"Orthodontists,Oral Surgeons",422 Main St,,,Windermere,FL,34786
BVL Family Dental,12.82,+14073486042,"General Dentistry,Cosmetic Dentists",100 Buenaventura Blvd,,,Kissimmee,FL,34743
Baldwin Park Peds Dentists,4.92,+14078985437,Pediatric Dentists,907 Outer Rd,,,Orlando,FL,32814
Endodontic Associates of Orlando,7.18,+14076472131,Endodontists,2001 Lee Rd,Ste A,,Winter Park,FL,32789
Sigma Dental,10.97,+14079313962,General Dentistry,2102 E Osceola Pkwy,,,Kissimmee,FL,34743
Chace Horvat & Cohen,6.69,+14076444404,Dentists,801 W Morse Blvd,,,Winter Park,FL,32789
Dr. Farzana Uddin,4.37,+14072280132,Endodontists,3907 E Colonial Dr,,,Orlando,FL,32803
Ata Omar DDS PA,16.96,+14078705151,General Dentistry,3192 S John Young Pkwy,Ste B,,Kissimmee,FL,34746
"Lawton Brett T, DMD MS",7.26,+14076448242,Orthodontists,201 N Lakemont Ave,Ste 400,,Winter Park,FL,32792
"Juan Santos, DDS",8.83,+14076442614,General Dentistry,331 N Maitland Ave,Ste D4,,Maitland,FL,32751
Precision Periodontics & Dental Implants,10.17,+14073780877,"Periodontists,Endodontists,Cosmetic Dentists",2666 Maguire Rd,,,Ocoee,FL,34761
Garcia Family Orthodontics,10.19,+14078570800,Orthodontists,14500 Gatorland Dr,,,Orlando,FL,32837
Family Dental Care,17.77,+14073244420,"Orthodontists,Cosmetic Dentists,General Dentistry",136 Parliament Lp,Ste 1000,,Lake Mary,FL,32746
Winter Garden Village Dental,12.8,+14076541221,"General Dentistry,Cosmetic Dentists",3311 Daniels Rd,,,Winter Garden,FL,34787
Orlando Friendly Dentistry,7.55,+14078261234,"Orthodontists,Pediatric Dentists,Cosmetic Dentists",7602 W Sand Lake Rd,,,Orlando,FL,32819
Orlando Oral and Facial Surgery,6.65,+14076285400,"Oral Surgeons,Cosmetic Dentists",800 W Morse Blvd,Ste 2,,Winter Park,FL,32789
Ocoee Dental Care PA,10.71,+14076561121,General Dentistry,11140 W Colonial Dr,Ste 7,,Ocoee,FL,34761
Beltran Periodontics,10.19,+14077534976,"Periodontists,Oral Surgeons,Cosmetic Dentists",4137 W Town Center Blvd,,,Orlando,FL,32837
Greenberg Dental Associates,7.2,+14072949200,Orthodontists,7319 W Colonial Dr,,,Orlando,FL,32818
Lang & Millward Aesthetic & Restorative Dentistry,13.84,+14073656691,"General Dentistry,Cosmetic Dentists",890 Northern Way,Ste G,,Winter Springs,FL,32708
"C R Edwards Jr, DDS",20.64,+14073226052,"Cosmetic Dentists,General Dentistry,Endodontists",2509 Park Dr,,,Sanford,FL,32773
All Aspects Dental,15.61,+14076549208,General Dentistry,301 S Tubb St,Ste D-2,,Oakland,FL,34760
Baptiste Orthodontics,7.16,+14072941560,Orthodontists,7260 W Colonial Dr,,,Orlando,FL,32818
The Smile Doctors,9.98,+14079305624,Orthodontists,4137 Town Center Blvd,,,Orlando,FL,32837
"Dirk G Prusia, DDS",10.94,+14078628158,"General Dentistry,Cosmetic Dentists",151 Wymore Rd,Ste 6000,,Altamonte Springs,FL,32714
Pediatric Dental Care of Greater Orlando,9.88,+14072080288,Pediatric Dentists,11309 Lake Underhill Rd,,,Orlando,FL,32825
Dowling & Dowling,5.47,+14075329856,"Periodontists,Endodontists,Cosmetic Dentists",6150 Metrowest Blvd,Ste 301,,Orlando,FL,32835
Oviedo Smiles Dentistry,14.73,+14076040399,"Oral Surgeons,General Dentistry,Cosmetic Dentists",65 W Mitchell Hammock Rd,Ste 1511,,Oviedo,FL,32765
"D'Aiuto C William, DDS,  PA",14.89,+14075890291,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",,,,Longwood,FL,32779
Aloha Family Dental,14.76,+14076566555,General Dentistry,15505 Stoneybrook W Pkwy,,,Winter Garden,FL,34787
Mangiarelli Lisa Dr,5.86,+14077814185,Orthodontists,1507 S Hiawassee Rd,,,Orlando,FL,32835
Ramzi Matar C,8.83,+14076776453,General Dentistry,331 N Maitland Ave,Ste A3,,Maitland,FL,32751
"William H Miller, DMD",13.89,+14079350100,General Dentistry,829 E Oak St,,,Kissimmee,FL,34744
Horizons Dental,12.63,+14073441550,General Dentistry,1031 Plaza Dr,,,Kissimmee,FL,34743
Greenberg Dental Associates,9.24,+14076608080,Orthodontists,2301 Maitland Center Pkwy,Ste 128,,Maitland,FL,32751
"David Hazen, DMD - Orlando Oral Impant Center",11.47,+14076775400,"Cosmetic Dentists,General Dentistry,Sleep Specialists",385 Douglas Ave,,,Altamonte Springs,FL,32714
Central Florida Endodontics,13.8,+14078460578,Dentists,2240 W Columbia Ave,,,Kissimmee,FL,34741
Greenberg Dental Associates,14.31,+14079771600,"General Dentistry,Endodontists,Cosmetic Dentists",1500 Alafaya Trl,,,Oviedo,FL,32765
"Susan Glenn Caddell, DDS",29.71,+13523432821,"Oral Surgeons,General Dentistry",109 W Main St,,,Tavares,FL,32778
Altamonte Springs Family Dentistry,11.26,+14073393373,General Dentistry,515 E Altamonte Dr,,,Altamonte Springs,FL,32701
Florida Hospital East Orlando,6.41,+14073038110,Hospitals,7727 Lake Underhill Rd,,,Orlando,FL,32822
"Michael L Weinstock, DDS",11.95,+14078346446,"General Dentistry,Cosmetic Dentists,Endodontists",664 Palm Springs Dr,,,Altamonte Springs,FL,32701
Ryder Art W DMD PA,12.19,+14077406500,General Dentistry,813 Douglas Ave,Ste 5,,Altamonte Springs,FL,32714
Bella Dente Fine Dentistry,13.11,+14079055698,"Endodontists,Cosmetic Dentists,General Dentistry",13650 W Colonial Dr,,,Winter Garden,FL,34787
BayTree Family Dental,17.5,+14073239669,"General Dentistry,Cosmetic Dentists",350 Waymont Ct,,,Lake Mary,FL,32746
Sage Dental of Apopka,12.91,+14074106848,"Oral Surgeons,Endodontists,Cosmetic Dentists",2444 E Semoran Blvd,,,Apopka,FL,32703
"Katrina Schroeder, DMD",14.71,+14078861611,"General Dentistry,Orthodontists,Cosmetic Dentists",200 N Park Ave,Ste A,,Apopka,FL,32703
Central Florida Orthodontic Specialists,8.51,+14076720030,Orthodontists,7534 University Blvd,,,Winter Park,FL,32792
"Jason J Sotto, DMD",12.78,+14073475956,Pediatric Dentists,3650 Winter Garden Vineland Rd,,Little Gators Pediatric Dentistry,Winter Garden,FL,34787
Trevisani Oral Surgery & Dental Implants,14.99,+14078862050,"Oral Surgeons,Cosmetic Dentists",511 Wekiva Commons Cir,,,Apopka,FL,32712
Dunwoody Dental,21.48,+14073289492,Dentists,5030 W State Road 46,Ste 1018,,Sanford,FL,32771
Central Florida Oral and Maxillofacial Surgery,11.26,+14072756626,Oral Surgeons,1864 N Alafaya Trl,Ste 100,,Orlando,FL,32826
Advanced Endodontics,19.06,+14075744271,Endodontists,743 Stirling Center Pl,Unit 1701,,Lake Mary,FL,32746
Aspen Dental,11.05,+14075203595,"Oral Surgeons,General Dentistry,Cosmetic Dentists",3304 Greenwald Way N,,,Kissimmee,FL,34741
Orlando Endodontic Specialists - South,10.92,+14075819500,Endodontists,1956 E Osceola Pkwy,,,Kissimmee,FL,34743
"Tim Tiralosi, DMD",19.06,+14073331335,"General Dentistry,Cosmetic Dentists",731 Stirling Center Pl,Ste 1951,,Lake Mary,FL,32746
Smiles by Design,12.34,+14076822100,General Dentistry,3290 E Semoran Blvd,,,Apopka,FL,32703
"Jared T Krieger, DMD - Krieger Periodontics",10.33,+14074785002,Periodontists,707 Pennsylvania Ave,Ste 1200,,Altamonte Springs,FL,32701
"Arbor Dentistry - Philip Trinh, Dmd",15.84,+14078143969,General Dentistry,1112 Rock Springs Rd,,,Apopka,FL,32712
Ferguson & Walters DMD PA,8.34,+14076571234,Dentists,3726 N Goldenrod Rd,Ste 3,,Winter Park,FL,32792
"Primera Dental - Amal Hamdi, DDS",18.22,+14075125700,"General Dentistry,Orthodontists,Cosmetic Dentists",1045 Primera Blvd,,,Lake Mary,FL,32746
Dental World,13.47,+14078304401,"Orthodontists,Cosmetic Dentists",1250 W State Rd 434,Ste 1008,,Longwood,FL,32750
Dental Care of Davenport,21.09,+13214014540,"General Dentistry,Endodontists,Cosmetic Dentists",7551 Osceola Polk Line Rd,,,Davenport,FL,33896
Champion Dental Group,22.43,+14077873892,General Dentistry,8390 Champions Gate Blvd,Ste 314,,Champions Gate,FL,33896
Warren L Spencer D D S P A,12.54,+14076825757,General Dentistry,994 Douglas Ave,Ste 104,,Altamonte Springs,FL,32714
Sage Dental of Oviedo,10.55,+13213046777,"Endodontists,Periodontists",3607 Aloma Ave,Ste 1031,,Oviedo,FL,32765
Hi-5 Children's Dentistry,11.0,+14078100450,"Pediatric Dentists,Cosmetic Dentists",1202 Cypress Glen Cir,,,Kissimmee,FL,34741
Rinehart Dental,21.04,+14073304074,Cosmetic Dentists,259 Bellagio Cir,,,Sanford,FL,32771
Columbia Dental Care & Associates,13.59,+14079334343,"Teeth Whitening,Cosmetic Dentists,General Dentistry",1135 W Columbia Ave,,,Kissimmee,FL,34741
Dental Care at Westside Shoppes,11.79,+14072177685,General Dentistry,11625 Lachlan Ln,,,Windermere,FL,34786
Greenberg Dental & Orthodontics,10.73,+18004416440,"General Dentistry,Orthodontists,Cosmetic Dentists",1050 Buenaventura Blvd,,,Kissimmee,FL,34744
"V Ramcharan, PA",7.12,+14075991221,"Oral Surgeons,Doctors",2081 Dundee Dr,,,Winter Park,FL,32792
Gittess Orthodontics,12.19,+14076991200,"Orthodontists,Pediatric Dentists,Cosmetic Dentists",5733 Canton Cv,,,Winter Springs,FL,32708
Greenberg Dental Associates,12.15,+14078620444,"Orthodontists,General Dentistry,Cosmetic Dentists",926 Great Pond Dr,Ste 2002,,Altamonte Springs,FL,32714
Family Dental at Alafaya Crossings,14.04,+14075421542,"General Dentistry,Cosmetic Dentists",1984 Alafaya Trl,Ste 1006,,Oviedo,FL,32765
Artisan Dental,12.2,+14076965210,Dentists,5965 Red Bug Lake Rd,Ste 233,,Winter Springs,FL,32708
Clearchoice Dental Implant Center,9.51,+13213042868,"Oral Surgeons,Cosmetic Dentists,Prosthodontists",1101 N Lake Destiny Rd,Ste 130,,Maitland,FL,32751
Sanford Plaza Dental Center,19.61,+14073229992,General Dentistry,2921 S Orlando Dr,,,Sanford,FL,32773
"Patrick Delflore, DDS",12.19,+14077888388,"Oral Surgeons,Cosmetic Dentists,Orthodontists",931 Centre Cir,,,Altamonte Springs,FL,32714
West Orange Dental Group,9.83,+14076542999,General Dentistry,1231 Blackwood Ave,,,Ocoee,FL,34761
Sage Dental of Altamonte Springs,11.18,+14076913908,"Orthodontists,Cosmetic Dentists,Endodontists",305 E Altamonte Dr,Ste 1020,,Altamonte Springs,FL,32701
Wintersprings Dental Excellence,11.8,+14076961325,General Dentistry,1008 Willa Springs Dr,,,Winter Springs,FL,32708
Coast Dental,12.45,+14078312255,"General Dentistry,Orthodontists,Cosmetic Dentists",3385 S US Hwy 17/92,Ste 221,,Casselberry,FL,32707
Aloma Dental Center,13.58,+14079711116,"General Dentistry,Cosmetic Dentists",1460 E Red Bug Rd,,,Oviedo,FL,32765
Nitisusanta Jonathan M DDS,10.27,+14078779003,"Oral Surgeons,General Dentistry",2704 Rew Cir,Ste 103,,Ocoee,FL,34761
Yao Effie C DDS PA,17.66,+14073330881,General Dentistry,4106 W Lake Mary Blvd,Ste 230,,Lake Mary,FL,32746
Greenberg Dental Associates,13.62,+14079338686,"Orthodontists,Endodontists,Cosmetic Dentists",1379 East Vine St,,,kissimmee,FL,34744
Lake Mary Modern Dentistry,17.5,+14075471359,"Oral Surgeons,General Dentistry,Cosmetic Dentists",3779 Lake Emma Rd,,,Lake Mary,FL,32746
Apopka Dentist: Cristene Maas DDS,12.51,+14077922409,General Dentistry,3030 E Semoran Blvd,Ste 200,,Apopka,FL,32703
Hamlin Groves Dental Care,15.36,+14075542335,"General Dentistry,Endodontists,Cosmetic Dentists",16412 New Independence Pkwy,Ste 100,,Winter Garden,FL,34787
Orlando Oral and Facial Surgery,9.7,+14075220464,Oral Surgeons,10131 W Colonial Dr,,,Ocoee,FL,34761
Coast Dental & Orthodontics - Kissimmee,15.46,+14079351772,"General Dentistry,Endodontists,Cosmetic Dentists",2310 E Irlo Bronson Memorial Hwy,Ste C-106,,Kissimmee,FL,34744
Pediatric Dentistry of Central Florida,19.37,+14075938900,"Orthodontists,Pediatric Dentists",3109 Innovation Dr,,,Saint Cloud,FL,34772
Lakeside Family Dentistry,11.63,+14077746622,"General Dentistry,Endodontists,Cosmetic Dentists",1022 W State Road 436,Ste 1008,,Altamonte Springs,FL,32714
Rg Dental,10.99,+14076783330,General Dentistry,3228 W State Road 426,,,Oviedo,FL,32765
"Richard Petrilli, DMD, PA",16.26,+14078841846,"General Dentistry,Cosmetic Dentists",1585 Rock Springs Rd,,,Apopka,FL,32712
"Bertot A Carlos, DMD",9.77,+14076282286,Pediatric Dentists,1650 N Maitland Ave,,,Maitland,FL,32751
Orlando Oral and Facial Surgery,12.22,+14076958200,Oral Surgeons,5745 Canton Cv,Ste 101,,Winter Springs,FL,32708
"Jonathan W. Preble, DMD FICOI",11.59,+14078313959,"General Dentistry,Cosmetic Dentists,Orthodontists",499 E Central Pkwy,Ste 220,,Altamonte Springs,FL,32701
Bright Now! Dental,11.42,+14077021011,"Cosmetic Dentists,General Dentistry,Orthodontists",745 W Osceola Pkwy,,,Kissimmee,FL,34741
